Report,Geography,Segment,Variety,Type,Data Year,Timeframe,PLU,Period,Prior Year Week Ending,Current Year Week Ending,Units Prior Year,Units Current Year,Unit Variance,Dollars Prior Year,Dollars Current Year,Dollar Variance,ASP Prior Year,ASP Current Year,ASP Variance,Dollar Sales Velocity Prior Year,Dollar Sales Velocity Current Year,Dollar Sales Velocity Variance
Category,Cincinnati/Dayton,Avocados,Hass,Total Hass,2022,YTD-Q,Total Hass,1,2021-04-04,2022-04-03,4660863.87,4835159.133,0.037395485,4473862.105,5593955.776,0.250363924,0.959878304,1.156933127,0.205291465,331.0316862,397.7475321,0.201539154
Category,Cincinnati/Dayton,Avocados,Hass,Total Hass,2022,Quarterly,Total Hass,1,2021-04-04,2022-04-03,4660863.87,4835159.133,0.037395485,4473862.105,5593955.776,0.250363924,0.959878304,1.156933127,0.205291465,331.0316862,397.7475321,0.201539154
Category,Cincinnati/Dayton,Avocados,Hass,Conventional,2022,Quarterly,4225,1,2021-04-04,2022-04-03,2177895.264,718928.8854,-0.669897402,2271425.964,1300926.815,-0.427264267,1.042945454,1.809534769,0.735023402,176.3723967,99.32821148,-0.436826775
Category,Cincinnati/Dayton,Avocados,Hass,Conventional,2022,Quarterly,4770,1,2021-04-04,2022-04-03,17100.27157,7840.711062,-0.541486167,21133.27553,9348.840782,-0.557624621,1.235844439,1.19234604,-0.03519731,1.625996425,0.688494981,-0.576570421
Category,Cincinnati/Dayton,Avocados,Hass,Conventional,2022,Quarterly,Conventional Hass Bags,1,2021-04-04,2022-04-03,512506.83,567337.0386,0.106984347,480025.4064,679816.5979,0.416209619,0.936622457,1.198258798,0.279340239,41.95920805,53.01077193,0.263388286
Category,Cincinnati/Dayton,Avocados,Hass,Conventional,2022,Quarterly,Total Conventional Hass,1,2021-04-04,2022-04-03,4400220.278,4595892.369,0.044468703,4073974.488,5154537.303,0.265235538,0.925856941,1.121553093,0.211367592,300.8970914,366.1803019,0.216961919
Category,Cincinnati/Dayton,Avocados,Hass,Organic,2022,Quarterly,94046,1,2021-04-04,2022-04-03,21286.66119,25054.8307,0.177020223,39014.44237,53114.17787,0.361397848,1.832811732,2.119917652,0.156647797,3.476900319,4.616905367,0.327879704
Category,Cincinnati/Dayton,Avocados,Hass,Organic,2022,Quarterly,94225,1,2021-04-04,2022-04-03,148386.6828,109091.3777,-0.264816925,262499.4096,251613.9998,-0.041468321,1.769022695,2.306451756,0.303799981,24.36962364,22.25161842,-0.086911692
Category,Cincinnati/Dayton,Avocados,Hass,Organic,2022,Quarterly,Organic Hass Bags,1,2021-04-04,2022-04-03,90970.24733,105120.5557,0.155548751,98373.76547,134690.2954,0.369168851,1.081383951,1.281293602,0.184864636,14.49818307,14.13625597,-0.024963618
Category,Cincinnati/Dayton,Avocados,Hass,Organic,2022,Quarterly,Total Organic Hass,1,2021-04-04,2022-04-03,260643.5914,239266.7641,-0.082015549,399887.6174,439418.4731,0.098854913,1.534231536,1.836521151,0.197029984,31.13432374,31.97736987,0.027077708
Category,Cincinnati/Dayton,Total Produce,Total Produce,Total Produce,2022,Quarterly,Total Produce,1,2021-04-04,2022-04-03,230755231.8,220635292.4,-0.043855731,174724360.9,183342109,0.049321961,0.75718483,0.830973626,0.097451499,12886.65885,13048.11046,0.012528585
