Report,Geography,Segment,Variety,Timeframe,Period,PLU,Prior Year Week Ending,Current Year Week Ending,Units Current Year,Unit Variance,Dollars Current Year,Dollar Variance,Unit Share Current Year,Dollar Share Current Year
Category,Total U.S.,Avocados,Hass,Last 04 Wks,7,4770,2023/07/16,2024/07/14,3591611.532,-0.493717941,8263560.193,-0.354116709,0.019252564,0.034034812
Category,Total U.S.,Avocados,Other,Last 04 Wks,7,All Other,2023/07/16,2024/07/14,3782027.209,0.07910347,9157553.445,0.096168656,0.020273273,0.037716869
Category,Total U.S.,Avocados,All,Last 04 Wks,7,Organic,2023/07/16,2024/07/14,11021015.71,0.17384558,17699134.09,0.297275041,0.059077327,0.072896753
Category,Total U.S.,Avocados,All,Last 04 Wks,7,Bags,2023/07/16,2024/07/14,49227250,0.065056423,53079072.02,0.202147985,0.263878975,0.218614764
Category,Total U.S.,Avocados,Hass,Last 04 Wks,8,4046,2023/08/13,2024/08/11,84159327.69,0.161004604,93020880.95,0.232800604,0.458466951,0.405010383
Category,Total U.S.,Avocados,Hass,Last 04 Wks,8,4225,2023/08/13,2024/08/11,28860921.37,-0.161404884,50961631.77,-0.042418781,0.15722296,0.221885557
Category,Total U.S.,Avocados,Hass,Last 04 Wks,8,4770,2023/08/13,2024/08/11,3809682.186,-0.285305547,8621666.426,-0.187586273,0.020753652,0.037538501
Category,Total U.S.,Avocados,Other,Last 04 Wks,8,All Other,2023/08/13,2024/08/11,3827755.674,0.07898683,8916977.571,0.133948026,0.020852109,0.038824278
Category,Total U.S.,Avocados,All,Last 04 Wks,8,Organic,2023/08/13,2024/08/11,9671742.386,0.037688861,16186243.22,0.134689211,0.052687852,0.070474462
Category,Total U.S.,Avocados,All,Last 04 Wks,8,Bags,2023/08/13,2024/08/11,53237406.89,0.173672189,51967899.41,0.133405926,0.290016476,0.226266819
Category,Total U.S.,Avocados,Hass,Last 04 Wks,9,4046,2023/09/10,2024/09/08,85237725.94,0.061154805,98929002.53,0.218958757,0.476547561,0.41928216
Category,Total U.S.,Avocados,Hass,Last 04 Wks,9,4225,2023/09/10,2024/09/08,26830585.14,-0.045961509,49853536.18,0.136461417,0.150004587,0.211289893
Category,Total U.S.,Avocados,Hass,Last 04 Wks,9,4770,2023/09/10,2024/09/08,3064862.174,-0.432948829,8453715.614,-0.201125537,0.017135049,0.035828645
Category,Total U.S.,Avocados,Other,Last 04 Wks,9,All Other,2023/09/10,2024/09/08,3657831.804,0.046803738,9095714.515,0.124349454,0.020450227,0.038549573
Category,Total U.S.,Avocados,All,Last 04 Wks,9,Organic,2023/09/10,2024/09/08,9936850.307,0.102099294,16825102.89,0.217537033,0.055554999,0.071308366
Category,Total U.S.,Avocados,All,Last 04 Wks,9,Bags,2023/09/10,2024/09/08,50137242.08,0.003961929,52791441.85,0.205632461,0.280307577,0.223741362
